发送时间戳,当前时间戳,延迟差(ms)
1733300549103,1733300549113,10
1733300549077,1733300549116,39
1733300549122,1733300549128,6
1733300549172,1733300549180,8
1733300549174,1733300549187,13
1733300549176,1733300549187,11
1733300549190,1733300549195,5
1733300549194,1733300549213,19
1733300549229,1733300549234,5
1733300549233,1733300549238,5
1733300549240,1733300549245,5
1733300549241,1733300549245,4
1733300549241,1733300549251,10
1733300549245,1733300549257,12
1733300549250,1733300549257,7
1733300549254,1733300549259,5
1733300549254,1733300549260,6
1733300549257,1733300549260,3
1733300549258,1733300549261,3
1733300549264,1733300549267,3
1733300549267,1733300549270,3
1733300549273,1733300549276,3
1733300549281,1733300549286,5
1733300549282,1733300549286,4
1733300549282,1733300549286,4
1733300549283,1733300549287,4
1733300549284,1733300549298,14
1733300549295,1733300549302,7
1733300549295,1733300549309,14
1733300549292,1733300549315,23
1733300549290,1733300549336,46
1733300549291,1733300549355,64
1733300549323,1733300549370,47
1733300549289,1733300549459,170
1733300549323,1733300549460,137
1733300549342,1733300549471,129
1733300549352,1733300549471,119
1733300549336,1733300549481,145
1733300549317,1733300549481,164
1733300549333,1733300549481,148
1733300549285,1733300549482,197
1733300549337,1733300549482,145
1733300549325,1733300549496,171
1733300549308,1733300549496,188
1733300549300,1733300549528,228
1733300549302,1733300549528,226
1733300549394,1733300549528,134
1733300549359,1733300549529,170
1733300549369,1733300549529,160
1733300549365,1733300549529,164
1733300549325,1733300549529,204
1733300549392,1733300549530,138
1733300549384,1733300549530,146
1733300549316,1733300549530,214
1733300549308,1733300549530,222
1733300549308,1733300549603,295
1733300549347,1733300549603,256
1733300549307,1733300549604,297
1733300549341,1733300549604,263
1733300549355,1733300549605,250
1733300549303,1733300549606,303
1733300549340,1733300549606,266
1733300549378,1733300549606,228
1733300549367,1733300549606,239
1733300549301,1733300549606,305
1733300549381,1733300549607,226
1733300549373,1733300549607,234
1733300549359,1733300549610,251
1733300549380,1733300549610,230
1733300549368,1733300549611,243
1733300549395,1733300549611,216
1733300549371,1733300549611,240
1733300549364,1733300549615,251
1733300549345,1733300549616,271
1733300549324,1733300549616,292
1733300549405,1733300549620,215
1733300549352,1733300549621,269
1733300549442,1733300549623,181
1733300549386,1733300549627,241
1733300549378,1733300549628,250
1733300549382,1733300549628,246
1733300549412,1733300549628,216
1733300549324,1733300549632,308
1733300549397,1733300549639,242
1733300549336,1733300549640,304
1733300549394,1733300549641,247
1733300549381,1733300549641,260
1733300549300,1733300549641,341
1733300549309,1733300549641,332
1733300549360,1733300549641,281
1733300549354,1733300549642,288
1733300549417,1733300549642,225
1733300549362,1733300549642,280
1733300549407,1733300549643,236
1733300549419,1733300549643,224
1733300549350,1733300549643,293
1733300549366,1733300549644,278
1733300549396,1733300549645,249
1733300549375,1733300549645,270
1733300549300,1733300549656,356
1733300549446,1733300549660,214
1733300549356,1733300549661,305
1733300549339,1733300549662,323
1733300549399,1733300549663,264
1733300549386,1733300549664,278
1733300549363,1733300549666,303
1733300549358,1733300549666,308
1733300549404,1733300549666,262
1733300549389,1733300549667,278
1733300549523,1733300549667,144
1733300549423,1733300549668,245
1733300549391,1733300549668,277
1733300549417,1733300549672,255
1733300549465,1733300549675,210
1733300549393,1733300549675,282
1733300549378,1733300549676,298
1733300549434,1733300549677,243
1733300549424,1733300549680,256
1733300549540,1733300549685,145
1733300549616,1733300549685,69
1733300549426,1733300549690,264
1733300549435,1733300549692,257
1733300549549,1733300549692,143
1733300549432,1733300549692,260
1733300549458,1733300549694,236
