每100条平均值(ms),每1000条平均值(ms),每10000条平均值(ms),全部条平均值(ms)
159.24,,,74.00998438
230.46,,,74.00998438
232.06,,,74.00998438
203.43,,,74.00998438
171.99,,,74.00998438
129.25,,,74.00998438
88.21,,,74.00998438
42.04,,,74.00998438
20.59,,,74.00998438
13.23,129.05,,74.00998438
8.56,,,74.00998438
10.23,,,74.00998438
16.84,,,74.00998438
21.62,,,74.00998438
277.85,,,74.00998438
333.11,,,74.00998438
287.88,,,74.00998438
251.46,,,74.00998438
174.47,,,74.00998438
144.34,152.636,,74.00998438
88.06,,,74.00998438
8.21,,,74.00998438
29.34,,,74.00998438
93.45,,,74.00998438
119.01,,,74.00998438
263.98,,,74.00998438
404.71,,,74.00998438
456.63,,,74.00998438
463.58,,,74.00998438
434.98,236.195,,74.00998438
444.11,,,74.00998438
668.06,,,74.00998438
856.6,,,74.00998438
880.65,,,74.00998438
800.39,,,74.00998438
741.15,,,74.00998438
790.68,,,74.00998438
646.83,,,74.00998438
685.7,,,74.00998438
658.85,717.302,,74.00998438
774.78,,,74.00998438
772.57,,,74.00998438
719.17,,,74.00998438
754.57,,,74.00998438
533.96,,,74.00998438
561.14,,,74.00998438
386.37,,,74.00998438
481.66,,,74.00998438
542.24,,,74.00998438
363.15,588.961,,74.00998438
423,,,74.00998438
414.3,,,74.00998438
351.9,,,74.00998438
339.04,,,74.00998438
94.29,,,74.00998438
1.67,,,74.00998438
2.59,,,74.00998438
2.88,,,74.00998438
3.81,,,74.00998438
3.75,163.723,,74.00998438
1.67,,,74.00998438
3.09,,,74.00998438
2.17,,,74.00998438
1.89,,,74.00998438
2.43,,,74.00998438
2.78,,,74.00998438
14.1,,,74.00998438
47.03,,,74.00998438
26.62,,,74.00998438
3.11,10.489,,74.00998438
2.13,,,74.00998438
1.94,,,74.00998438
3.45,,,74.00998438
12.31,,,74.00998438
2.3,,,74.00998438
8.02,,,74.00998438
3.12,,,74.00998438
2.89,,,74.00998438
2.34,,,74.00998438
1.9,4.04,,74.00998438
2.23,,,74.00998438
2.32,,,74.00998438
60.35,,,74.00998438
48.07,,,74.00998438
528.09,,,74.00998438
1059.44,,,74.00998438
1290.84,,,74.00998438
1320.62,,,74.00998438
1349.97,,,74.00998438
1251.19,691.312,,74.00998438
1204.65,,,74.00998438
1170.99,,,74.00998438
1064.95,,,74.00998438
993.96,,,74.00998438
900.03,,,74.00998438
846.65,,,74.00998438
869.11,,,74.00998438
770.46,,,74.00998438
737.1,,,74.00998438
699.35,925.725,361.9433,74.00998438
630.35,,,74.00998438
614.07,,,74.00998438
554.74,,,74.00998438
615.96,,,74.00998438
319.59,,,74.00998438
196.15,,,74.00998438
65.41,,,74.00998438
7.44,,,74.00998438
2.75,,,74.00998438
1.53,300.799,,74.00998438
2.48,,,74.00998438
1.6,,,74.00998438
1.55,,,74.00998438
1.41,,,74.00998438
1.37,,,74.00998438
1.3,,,74.00998438
1.38,,,74.00998438
1.5,,,74.00998438
1.22,,,74.00998438
1.32,1.513,,74.00998438
8.1,,,74.00998438
1.41,,,74.00998438
1.34,,,74.00998438
1.42,,,74.00998438
1.38,,,74.00998438
1.54,,,74.00998438
1.33,,,74.00998438
1.23,,,74.00998438
1.19,,,74.00998438
1.14,2.008,,74.00998438
1.22,,,74.00998438
2.65,,,74.00998438
5.24,,,74.00998438
12.82,,,74.00998438
35.52,,,74.00998438
23.49,,,74.00998438
30.03,,,74.00998438
42.29,,,74.00998438
14.93,,,74.00998438
2.53,17.072,,74.00998438
1.33,,,74.00998438
3.8,,,74.00998438
1.44,,,74.00998438
1.38,,,74.00998438
99.33,,,74.00998438
148.17,,,74.00998438
86.7,,,74.00998438
3.88,,,74.00998438
1.3,,,74.00998438
1.36,34.869,,74.00998438
1.24,,,74.00998438
1.28,,,74.00998438
1.45,,,74.00998438
4.95,,,74.00998438
1.69,,,74.00998438
1.37,,,74.00998438
1.19,,,74.00998438
1.27,,,74.00998438
1.3,,,74.00998438
5.04,2.078,,74.00998438
1.2,,,74.00998438
1.45,,,74.00998438
1.35,,,74.00998438
1.26,,,74.00998438
1.3,,,74.00998438
1.28,,,74.00998438
2.69,,,74.00998438
4.06,,,74.00998438
1.25,,,74.00998438
1.52,1.736,,74.00998438
